geoid,census_tract,white_pop,total_pop,white_pct,non_white_pct
09009352500,"Census Tract 3525, New Haven County, Connecticut",2003,3496,57.294050343249424,42.705949656750576
09009352600,"Census Tract 3526, New Haven County, Connecticut",3859,5381,71.71529455491545,28.284705445084555
09009352701,"Census Tract 3527.01, New Haven County, Connecticut",1993,3504,56.87785388127854,43.12214611872146
09009352702,"Census Tract 3527.02, New Haven County, Connecticut",3676,5282,69.59485043544113,30.40514956455887
09009352800,"Census Tract 3528, New Haven County, Connecticut",3534,6478,54.55387465267057,45.44612534732943
09009361100,"Census Tract 3611, New Haven County, Connecticut",5946,6623,89.77804620262721,10.221953797372791
09009361200,"Census Tract 3612, New Haven County, Connecticut",4974,5534,89.88073726057102,10.119262739428976
09009361300,"Census Tract 3613, New Haven County, Connecticut",3937,4075,96.61349693251535,3.3865030674846537
09009361401,"Census Tract 3614.01, New Haven County, Connecticut",2243,3878,57.839092315626615,42.160907684373385
09009361402,"Census Tract 3614.02, New Haven County, Connecticut",1855,2861,64.837469416288,35.162530583712
09009361500,"Census Tract 3615, New Haven County, Connecticut",2800,7650,36.60130718954248,63.39869281045752
09009990000,"Census Tract 9900, New Haven County, Connecticut",0,0,NA,NA
09011650100,"Census Tract 6501, New London County, Connecticut",2246,2430,92.42798353909465,7.5720164609053455
09011660101,"Census Tract 6601.01, New London County, Connecticut",3146,3316,94.87334137515079,5.126658624849213
09011660103,"Census Tract 6601.03, New London County, Connecticut",2462,2671,92.17521527517783,7.824784724822166
09011660104,"Census Tract 6601.04, New London County, Connecticut",1392,1595,87.27272727272727,12.727272727272734
09011690300,"Census Tract 6903, New London County, Connecticut",2619,6593,39.723949643561355,60.276050356438645
09011690400,"Census Tract 6904, New London County, Connecticut",557,2099,26.53644592663173,73.46355407336827
09011690500,"Census Tract 6905, New London County, Connecticut",1342,2621,51.201831362075545,48.798168637924455
09011690700,"Census Tract 6907, New London County, Connecticut",489,1134,43.12169312169312,56.87830687830688
09011690800,"Census Tract 6908, New London County, Connecticut",2514,3569,70.43989913140936,29.560100868590638
09011690900,"Census Tract 6909, New London County, Connecticut",3729,5253,70.98800685322672,29.01199314677328
09011693300,"Census Tract 6933, New London County, Connecticut",5208,5686,91.5933872669715,8.406612733028496
09011693400,"Census Tract 6934, New London County, Connecticut",3448,4189,82.31081403676295,17.68918596323705
09011693500,"Census Tract 6935, New London County, Connecticut",3077,3426,89.81319322825453,10.186806771745466
09011693600,"Census Tract 6936, New London County, Connecticut",2458,2971,82.73308650286098,17.266913497139015
09011693700,"Census Tract 6937, New London County, Connecticut",2754,3286,83.81010346926354,16.189896530736462
09011695201,"Census Tract 6952.01, New London County, Connecticut",4547,5241,86.75825224193856,13.241747758061436
09011695202,"Census Tract 6952.02, New London County, Connecticut",4979,5648,88.15509915014165,11.844900849858348
09011696100,"Census Tract 6961, New London County, Connecticut",3589,4850,74,26
09011696200,"Census Tract 6962, New London County, Connecticut",3961,4828,82.04225352112677,17.957746478873233
09011696300,"Census Tract 6963, New London County, Connecticut",2520,3125,80.64,19.36
09011696401,"Census Tract 6964.01, New London County, Connecticut",2866,5189,55.23222200809405,44.76777799190595
09011696500,"Census Tract 6965, New London County, Connecticut",2122,3270,64.89296636085628,35.10703363914372
09011696600,"Census Tract 6966, New London County, Connecticut",2824,4418,63.920325939339065,36.079674060660935
09011696701,"Census Tract 6967.01, New London County, Connecticut",4224,5811,72.68972638100155,27.31027361899845
09011696800,"Census Tract 6968, New London County, Connecticut",1875,3586,52.28667038482989,47.71332961517011
09011697000,"Census Tract 6970, New London County, Connecticut",3263,4943,66.01254299008698,33.987457009913015
09011700100,"Census Tract 7001, New London County, Connecticut",4449,4778,93.11427375470909,6.885726245290911
09011701100,"Census Tract 7011, New London County, Connecticut",6552,8211,79.79539641943734,20.20460358056266
09011701200,"Census Tract 7012, New London County, Connecticut",6435,7102,90.60827935792734,9.391720642072656
09011702100,"Census Tract 7021, New London County, Connecticut",3490,4356,80.11937557392102,19.88062442607898
09011702300,"Census Tract 7023, New London County, Connecticut",1791,2337,76.6367137355584,23.363286264441598
09011702400,"Census Tract 7024, New London County, Connecticut",2536,3620,70.05524861878453,29.944751381215468
09011702500,"Census Tract 7025, New London County, Connecticut",2609,4436,58.81424706943192,41.18575293056808
09011702600,"Census Tract 7026, New London County, Connecticut",1053,1147,91.80470793374019,8.19529206625981
09011702700,"Census Tract 7027, New London County, Connecticut",3228,5256,61.41552511415526,38.58447488584474
09011702800,"Census Tract 7028, New London County, Connecticut",2536,3939,64.38182279766438,35.618177202335616
09011702900,"Census Tract 7029, New London County, Connecticut",2049,2147,95.43549138332557,4.564508616674431
09011703000,"Census Tract 7030, New London County, Connecticut",2963,3362,88.13206424747175,11.867935752528254
09011705101,"Census Tract 7051.01, New London County, Connecticut",3469,4047,85.71781566592537,14.282184334074628
09011705102,"Census Tract 7051.02, New London County, Connecticut",3251,4041,80.45038356842366,19.54961643157634
09011705200,"Census Tract 7052, New London County, Connecticut",3527,3743,94.2292278920652,5.770772107934803
