geoid,name,median_income
09001210701,"Census Tract 2107.01, Fairfield County, Connecticut",50168
09001210702,"Census Tract 2107.02, Fairfield County, Connecticut",68142
09001210800,"Census Tract 2108, Fairfield County, Connecticut",84792
09001210900,"Census Tract 2109, Fairfield County, Connecticut",123691
09001211000,"Census Tract 2110, Fairfield County, Connecticut",94649
09001211100,"Census Tract 2111, Fairfield County, Connecticut",NA
09001211201,"Census Tract 2112.01, Fairfield County, Connecticut",87039
09001211202,"Census Tract 2112.02, Fairfield County, Connecticut",85399
09001211300,"Census Tract 2113, Fairfield County, Connecticut",120662
09001211400,"Census Tract 2114, Fairfield County, Connecticut",85146
09001220100,"Census Tract 2201, Fairfield County, Connecticut",123333
09001220200,"Census Tract 2202, Fairfield County, Connecticut",134726
09001220300,"Census Tract 2203, Fairfield County, Connecticut",118480
09001230100,"Census Tract 2301, Fairfield County, Connecticut",117557
09001230200,"Census Tract 2302, Fairfield County, Connecticut",146964
09001230300,"Census Tract 2303, Fairfield County, Connecticut",132034
09001230400,"Census Tract 2304, Fairfield County, Connecticut",151364
09001230501,"Census Tract 2305.01, Fairfield County, Connecticut",126806
09001230502,"Census Tract 2305.02, Fairfield County, Connecticut",144250
09001240100,"Census Tract 2401, Fairfield County, Connecticut",128725
09001240200,"Census Tract 2402, Fairfield County, Connecticut",151667
09001245100,"Census Tract 2451, Fairfield County, Connecticut",196563
09001245200,"Census Tract 2452, Fairfield County, Connecticut",146037
09001245300,"Census Tract 2453, Fairfield County, Connecticut",136875
09001245400,"Census Tract 2454, Fairfield County, Connecticut",180543
09001245500,"Census Tract 2455, Fairfield County, Connecticut",181094
09001245600,"Census Tract 2456, Fairfield County, Connecticut",186107
09001257100,"Census Tract 2571, Fairfield County, Connecticut",123889
09001257200,"Census Tract 2572, Fairfield County, Connecticut",52227
09001990000,"Census Tract 9900, Fairfield County, Connecticut",NA
09003330100,"Census Tract 3301, Hartford County, Connecticut",105921
09003400101,"Census Tract 4001.01, Hartford County, Connecticut",76719
09003400102,"Census Tract 4001.02, Hartford County, Connecticut",83542
09003400200,"Census Tract 4002, Hartford County, Connecticut",141350
09003400300,"Census Tract 4003, Hartford County, Connecticut",111291
09003405100,"Census Tract 4051, Hartford County, Connecticut",71442
09003405200,"Census Tract 4052, Hartford County, Connecticut",71591
09003405300,"Census Tract 4053, Hartford County, Connecticut",80792
09003405401,"Census Tract 4054.01, Hartford County, Connecticut",102500
09003405402,"Census Tract 4054.02, Hartford County, Connecticut",53057
09003405500,"Census Tract 4055, Hartford County, Connecticut",76759
09003405600,"Census Tract 4056, Hartford County, Connecticut",85893
09003405700,"Census Tract 4057, Hartford County, Connecticut",37250
09003405801,"Census Tract 4058.01, Hartford County, Connecticut",82361
09003405802,"Census Tract 4058.02, Hartford County, Connecticut",112647
09003405900,"Census Tract 4059, Hartford County, Connecticut",84500
09003406001,"Census Tract 4060.01, Hartford County, Connecticut",50787
